time, dskOnReal, dskOnFake, epoch
1590657593.1138, 0.46, 0.5632, 0
1590657593.1427, 0.458, 0.5747, 0
1590657593.1696, 0.452, 0.5855, 0
1590657593.2045, 0.452, 0.5845, 0
1590657593.2304, 0.452, 0.5788, 0
1590657593.2584, 0.456, 0.5655, 0
1590657593.2843, 0.459, 0.5407, 0
1590657593.3113, 0.473, 0.5187, 0
1590657593.3382, 0.481, 0.4995, 0
1590657593.3611, 0.492, 0.4818, 0
1590657593.389, 0.502, 0.4723, 0
1590657593.414, 0.518, 0.4709, 0
1590657593.4393, 0.511, 0.4718, 0
1590657593.4663, 0.527, 0.4749, 0
1590657593.4922, 0.515, 0.4842, 0
1590657593.5211, 0.491, 0.4945, 0
1590657593.548, 0.484, 0.5096, 0
1590657593.578, 0.463, 0.5258, 0
1590657593.6069, 0.448, 0.5508, 0
1590657593.6328, 0.442, 0.5669, 0
1590657593.6598, 0.432, 0.5777, 0
1590657593.6867, 0.422, 0.5896, 0
1590657593.7216, 0.418, 0.5986, 0
1590657593.7465, 0.411, 0.6054, 0
1590657593.7714, 0.409, 0.6129, 0
1590657593.7964, 0.407, 0.6108, 0
1590657593.8213, 0.407, 0.6046, 0
1590657593.8492, 0.4, 0.595, 0
1590657593.8732, 0.41, 0.5798, 0
1590657593.9011, 0.408, 0.5633, 0
1590657593.93, 0.418, 0.5489, 0
1590657593.9579, 0.411, 0.5391, 0
1590657593.9859, 0.411, 0.5224, 0
1590657594.0168, 0.429, 0.5081, 0
1590657594.0517, 0.424, 0.4902, 0
1590657594.0766, 0.438, 0.4736, 0
1590657594.1135, 0.457, 0.4622, 0
1590657594.1405, 0.469, 0.4511, 0
1590657594.1674, 0.463, 0.4383, 0
1590657594.1953, 0.459, 0.4391, 0
1590657594.2193, 0.447, 0.4445, 0
1590657594.2462, 0.41, 0.4632, 0
1590657594.2721, 0.422, 0.5024, 0
1590657594.3011, 0.402, 0.5366, 0
1590657594.327, 0.408, 0.5727, 0
1590657594.3539, 0.399, 0.612, 0
1590657594.3798, 0.391, 0.6381, 0
1590657594.4057, 0.409, 0.6605, 0
1590657594.4317, 0.409, 0.6709, 0
1590657594.4586, 0.419, 0.6865, 0
1590657594.4846, 0.436, 0.671, 0
1590657594.5144, 0.465, 0.6577, 0
1590657594.5414, 0.499, 0.6223, 0
1590657594.5678, 0.525, 0.5582, 0
1590657594.5977, 0.551, 0.4714, 0
1590657594.6236, 0.602, 0.4051, 0
1590657594.6575, 0.596, 0.3749, 0
1590657594.6855, 0.597, 0.36, 0
1590657594.7134, 0.567, 0.359, 0
1590657594.7413, 0.555, 0.4009, 0
1590657594.7702, 0.485, 0.4802, 0
1590657594.7962, 0.468, 0.5792, 0
1590657594.8211, 0.399, 0.653, 0
1590657594.8513, 0.391, 0.7183, 0
1590657594.8752, 0.373, 0.752, 0
1590657594.9012, 0.364, 0.791, 0
1590657594.9251, 0.372, 0.8135, 0
1590657594.953, 0.373, 0.8194, 0
1590657594.979, 0.392, 0.8217, 0
1590657595.0049, 0.42, 0.8173, 0
1590657595.0378, 0.447, 0.7906, 0
1590657595.0628, 0.441, 0.748, 0
1590657595.0916, 0.42, 0.6829, 0
1590657595.1206, 0.404, 0.6089, 0
1590657595.1495, 0.386, 0.5149, 0
1590657595.1764, 0.365, 0.4467, 0
1590657595.2024, 0.364, 0.4168, 0
1590657595.2313, 0.331, 0.4053, 0
1590657595.2592, 0.295, 0.4194, 0
1590657595.2881, 0.283, 0.4359, 0
1590657595.3131, 0.262, 0.4467, 0
1590657595.339, 0.257, 0.4582, 0
1590657595.3699, 0.245, 0.4767, 0
1590657595.4018, 0.238, 0.4781, 0
