model, time, acc, loss, tacc, tloss
model-Wed May 20 21:26:58 2020, 1589990248.99, 0.73, 0.1851, 0.6, 0.2171, 2
model-Wed May 20 21:26:58 2020, 1589990249.053, 0.73, 0.1757, 0.79, 0.1781, 2
model-Wed May 20 21:26:58 2020, 1589990249.115, 0.81, 0.1547, 0.7, 0.2034, 2
model-Wed May 20 21:26:58 2020, 1589990249.178, 0.74, 0.1892, 0.72, 0.178, 2
model-Wed May 20 21:26:58 2020, 1589990249.241, 0.69, 0.1853, 0.73, 0.165, 2
model-Wed May 20 21:26:58 2020, 1589990249.304, 0.69, 0.2007, 0.77, 0.1652, 2
model-Wed May 20 21:26:58 2020, 1589990249.365, 0.71, 0.1899, 0.66, 0.2015, 2
model-Wed May 20 21:26:58 2020, 1589990249.429, 0.68, 0.1953, 0.69, 0.207, 2
model-Wed May 20 21:26:58 2020, 1589990249.503, 0.75, 0.1739, 0.74, 0.1872, 2
model-Wed May 20 21:26:58 2020, 1589990249.566, 0.63, 0.2018, 0.7, 0.2021, 2
model-Wed May 20 21:26:58 2020, 1589990249.628, 0.66, 0.2033, 0.68, 0.197, 2
model-Wed May 20 21:26:58 2020, 1589990249.691, 0.71, 0.1963, 0.71, 0.2004, 2
model-Wed May 20 21:26:58 2020, 1589990249.761, 0.71, 0.1886, 0.71, 0.1794, 2
model-Wed May 20 21:26:58 2020, 1589990249.834, 0.66, 0.2153, 0.71, 0.1853, 2
model-Wed May 20 21:26:58 2020, 1589990249.896, 0.77, 0.1725, 0.64, 0.2234, 2
model-Wed May 20 21:26:58 2020, 1589990249.959, 0.67, 0.1968, 0.62, 0.2561, 2
model-Wed May 20 21:26:58 2020, 1589990250.021, 0.69, 0.2224, 0.68, 0.2195, 2
model-Wed May 20 21:26:58 2020, 1589990250.084, 0.73, 0.1748, 0.69, 0.1812, 2
model-Wed May 20 21:26:58 2020, 1589990250.145, 0.76, 0.169, 0.67, 0.2071, 2
model-Wed May 20 21:26:58 2020, 1589990250.209, 0.65, 0.2136, 0.74, 0.1736, 2
model-Wed May 20 21:26:58 2020, 1589990250.271, 0.69, 0.1885, 0.75, 0.1789, 2
model-Wed May 20 21:26:58 2020, 1589990250.335, 0.75, 0.1783, 0.75, 0.1807, 2
model-Wed May 20 21:26:58 2020, 1589990250.397, 0.64, 0.227, 0.71, 0.1873, 2
model-Wed May 20 21:26:58 2020, 1589990250.46, 0.6, 0.2388, 0.74, 0.1743, 2
model-Wed May 20 21:26:58 2020, 1589990250.522, 0.73, 0.1915, 0.69, 0.1924, 2
model-Wed May 20 21:26:58 2020, 1589990250.585, 0.74, 0.1828, 0.82, 0.1714, 2
model-Wed May 20 21:26:58 2020, 1589990250.658, 0.64, 0.2084, 0.71, 0.1862, 2
model-Wed May 20 21:26:58 2020, 1589990250.732, 0.71, 0.1824, 0.67, 0.2129, 2
model-Wed May 20 21:26:58 2020, 1589990250.794, 0.74, 0.1853, 0.77, 0.1853, 2
model-Wed May 20 21:26:58 2020, 1589990250.857, 0.78, 0.1899, 0.77, 0.1797, 2
model-Wed May 20 21:26:58 2020, 1589990250.919, 0.73, 0.1859, 0.78, 0.172, 2
model-Wed May 20 21:26:58 2020, 1589990250.982, 0.66, 0.2023, 0.69, 0.1904, 2
model-Wed May 20 21:26:58 2020, 1589990251.044, 0.69, 0.1833, 0.72, 0.184, 2
model-Wed May 20 21:26:58 2020, 1589990251.107, 0.77, 0.1571, 0.68, 0.2076, 2
model-Wed May 20 21:26:58 2020, 1589990251.18, 0.71, 0.1816, 0.8, 0.1616, 2
model-Wed May 20 21:26:58 2020, 1589990251.242, 0.66, 0.1929, 0.69, 0.2008, 2
model-Wed May 20 21:26:58 2020, 1589990251.305, 0.7, 0.1861, 0.72, 0.1894, 2
model-Wed May 20 21:26:58 2020, 1589990251.368, 0.71, 0.1946, 0.7, 0.1937, 2
model-Wed May 20 21:26:58 2020, 1589990251.43, 0.67, 0.1942, 0.74, 0.1582, 2
model-Wed May 20 21:26:58 2020, 1589990251.494, 0.73, 0.1905, 0.65, 0.2052, 2
model-Wed May 20 21:26:58 2020, 1589990251.556, 0.65, 0.1924, 0.7, 0.1865, 2
model-Wed May 20 21:26:58 2020, 1589990251.619, 0.74, 0.1787, 0.74, 0.166, 2
model-Wed May 20 21:26:58 2020, 1589990251.681, 0.71, 0.1893, 0.73, 0.1724, 2
model-Wed May 20 21:26:58 2020, 1589990251.745, 0.73, 0.1794, 0.76, 0.1785, 2
model-Wed May 20 21:26:58 2020, 1589990251.809, 0.7, 0.1864, 0.73, 0.1718, 2
model-Wed May 20 21:26:58 2020, 1589990251.874, 0.72, 0.1716, 0.76, 0.1791, 2
model-Wed May 20 21:26:58 2020, 1589990251.938, 0.71, 0.1874, 0.73, 0.1854, 2
model-Wed May 20 21:26:58 2020, 1589990252.001, 0.73, 0.1903, 0.68, 0.2084, 2
model-Wed May 20 21:26:58 2020, 1589990252.073, 0.7, 0.1874, 0.72, 0.1744, 2
model-Wed May 20 21:26:58 2020, 1589990252.137, 0.85, 0.1466, 0.72, 0.1931, 2
model-Wed May 20 21:26:58 2020, 1589990252.2, 0.69, 0.2049, 0.72, 0.1851, 2
model-Wed May 20 21:26:58 2020, 1589990252.263, 0.68, 0.1844, 0.74, 0.1661, 2
model-Wed May 20 21:26:58 2020, 1589990252.327, 0.71, 0.1745, 0.78, 0.1668, 2
model-Wed May 20 21:26:58 2020, 1589990252.39, 0.72, 0.1858, 0.68, 0.1963, 2
model-Wed May 20 21:26:58 2020, 1589990252.453, 0.72, 0.1847, 0.75, 0.1661, 2
model-Wed May 20 21:26:58 2020, 1589990252.518, 0.72, 0.1861, 0.77, 0.1714, 2
model-Wed May 20 21:26:58 2020, 1589990252.58, 0.77, 0.161, 0.74, 0.1712, 2
model-Wed May 20 21:26:58 2020, 1589990252.645, 0.72, 0.1717, 0.68, 0.1987, 2
model-Wed May 20 21:26:58 2020, 1589990252.718, 0.68, 0.1961, 0.71, 0.188, 2
model-Wed May 20 21:26:58 2020, 1589990252.781, 0.68, 0.2066, 0.73, 0.1867, 2
model-Wed May 20 21:26:58 2020, 1589990252.844, 0.72, 0.1991, 0.72, 0.1973, 2
model-Wed May 20 21:26:58 2020, 1589990252.907, 0.7, 0.2097, 0.64, 0.2199, 2
model-Wed May 20 21:26:58 2020, 1589990252.971, 0.77, 0.1641, 0.72, 0.1672, 2
model-Wed May 20 21:26:58 2020, 1589990253.036, 0.69, 0.2069, 0.61, 0.2399, 2
model-Wed May 20 21:26:58 2020, 1589990253.097, 0.68, 0.2096, 0.74, 0.188, 2
model-Wed May 20 21:26:58 2020, 1589990253.173, 0.73, 0.1768, 0.75, 0.1825, 2
model-Wed May 20 21:26:58 2020, 1589990253.236, 0.75, 0.1793, 0.73, 0.1862, 2
model-Wed May 20 21:26:58 2020, 1589990253.304, 0.77, 0.1815, 0.61, 0.2266, 2
model-Wed May 20 21:26:58 2020, 1589990253.367, 0.77, 0.1675, 0.69, 0.2024, 2
model-Wed May 20 21:26:58 2020, 1589990253.43, 0.68, 0.2133, 0.76, 0.1647, 2
model-Wed May 20 21:26:58 2020, 1589990253.495, 0.82, 0.1515, 0.73, 0.1767, 2
model-Wed May 20 21:26:58 2020, 1589990253.56, 0.75, 0.1467, 0.68, 0.2123, 2
model-Wed May 20 21:26:58 2020, 1589990253.623, 0.71, 0.1993, 0.67, 0.2084, 2
model-Wed May 20 21:26:58 2020, 1589990253.69, 0.72, 0.1769, 0.7, 0.1968, 2
model-Wed May 20 21:26:58 2020, 1589990253.753, 0.66, 0.2277, 0.72, 0.2001, 2
model-Wed May 20 21:26:58 2020, 1589990253.827, 0.74, 0.1837, 0.68, 0.193, 2
model-Wed May 20 21:26:58 2020, 1589990253.89, 0.75, 0.1739, 0.66, 0.2063, 2
model-Wed May 20 21:26:58 2020, 1589990253.955, 0.72, 0.1706, 0.66, 0.2297, 2
model-Wed May 20 21:26:58 2020, 1589990254.018, 0.74, 0.1717, 0.74, 0.1813, 2
model-Wed May 20 21:26:58 2020, 1589990254.082, 0.77, 0.1661, 0.65, 0.2144, 2
model-Wed May 20 21:26:58 2020, 1589990254.145, 0.76, 0.1749, 0.69, 0.1991, 2
model-Wed May 20 21:26:58 2020, 1589990254.209, 0.7, 0.1968, 0.67, 0.2095, 2
model-Wed May 20 21:26:58 2020, 1589990254.272, 0.74, 0.1653, 0.74, 0.1843, 2
model-Wed May 20 21:26:58 2020, 1589990254.336, 0.84, 0.1247, 0.7, 0.1911, 2
model-Wed May 20 21:26:58 2020, 1589990254.403, 0.67, 0.1843, 0.66, 0.1981, 2
model-Wed May 20 21:26:58 2020, 1589990254.468, 0.76, 0.161, 0.75, 0.1712, 2
model-Wed May 20 21:26:58 2020, 1589990254.541, 0.8, 0.1516, 0.77, 0.1662, 2
model-Wed May 20 21:26:58 2020, 1589990254.605, 0.78, 0.1481, 0.67, 0.1992, 2
model-Wed May 20 21:26:58 2020, 1589990254.667, 0.76, 0.1707, 0.67, 0.205, 2
model-Wed May 20 21:26:58 2020, 1589990254.731, 0.69, 0.1924, 0.75, 0.1818, 2
model-Wed May 20 21:26:58 2020, 1589990254.793, 0.75, 0.1653, 0.75, 0.174, 2
model-Wed May 20 21:26:58 2020, 1589990254.856, 0.71, 0.1915, 0.72, 0.1742, 2
model-Wed May 20 21:26:58 2020, 1589990254.919, 0.75, 0.1779, 0.72, 0.1729, 2
model-Wed May 20 21:26:58 2020, 1589990254.981, 0.71, 0.1975, 0.75, 0.1732, 2
model-Wed May 20 21:26:58 2020, 1589990255.044, 0.75, 0.1556, 0.77, 0.1491, 2
model-Wed May 20 21:26:58 2020, 1589990255.107, 0.78, 0.1665, 0.73, 0.1918, 2
model-Wed May 20 21:26:58 2020, 1589990255.18, 0.72, 0.1894, 0.74, 0.1743, 2
model-Wed May 20 21:26:58 2020, 1589990255.244, 0.76, 0.1717, 0.73, 0.1773, 2
model-Wed May 20 21:26:58 2020, 1589990255.307, 0.75, 0.1752, 0.71, 0.1931, 2
model-Wed May 20 21:26:58 2020, 1589990255.37, 0.72, 0.1965, 0.75, 0.1924, 2
model-Wed May 20 21:26:58 2020, 1589990255.432, 0.74, 0.1781, 0.75, 0.1514, 2
model-Wed May 20 21:26:58 2020, 1589990255.507, 0.7, 0.1784, 0.72, 0.1757, 2
model-Wed May 20 21:26:58 2020, 1589990255.575, 0.76, 0.182, 0.74, 0.1648, 2
model-Wed May 20 21:26:58 2020, 1589990255.669, 0.73, 0.1803, 0.7, 0.2128, 2
model-Wed May 20 21:26:58 2020, 1589990255.731, 0.71, 0.1819, 0.68, 0.1951, 2
model-Wed May 20 21:26:58 2020, 1589990255.809, 0.67, 0.2058, 0.78, 0.1576, 2
model-Wed May 20 21:26:58 2020, 1589990255.884, 0.7, 0.203, 0.82, 0.1427, 2
model-Wed May 20 21:26:58 2020, 1589990255.949, 0.74, 0.1568, 0.72, 0.1851, 2
model-Wed May 20 21:26:58 2020, 1589990256.018, 0.71, 0.1788, 0.72, 0.1727, 2
model-Wed May 20 21:26:58 2020, 1589990256.086, 0.72, 0.173, 0.68, 0.2237, 2
model-Wed May 20 21:26:58 2020, 1589990256.16, 0.76, 0.1462, 0.76, 0.1776, 2
model-Wed May 20 21:26:58 2020, 1589990256.253, 0.69, 0.1877, 0.78, 0.1529, 2
model-Wed May 20 21:26:58 2020, 1589990256.319, 0.74, 0.1956, 0.72, 0.2011, 2
model-Wed May 20 21:26:58 2020, 1589990256.394, 0.75, 0.1767, 0.75, 0.1613, 2
model-Wed May 20 21:26:58 2020, 1589990256.459, 0.77, 0.1613, 0.73, 0.1859, 2
model-Wed May 20 21:26:58 2020, 1589990256.523, 0.72, 0.1822, 0.72, 0.1775, 2
model-Wed May 20 21:26:58 2020, 1589990256.586, 0.63, 0.2207, 0.77, 0.1742, 2
model-Wed May 20 21:26:58 2020, 1589990256.659, 0.74, 0.1633, 0.71, 0.1815, 2
model-Wed May 20 21:26:58 2020, 1589990256.732, 0.72, 0.1857, 0.69, 0.1987, 2
model-Wed May 20 21:26:58 2020, 1589990256.795, 0.69, 0.1891, 0.71, 0.2003, 2
model-Wed May 20 21:26:58 2020, 1589990256.858, 0.66, 0.2104, 0.7, 0.1991, 2
model-Wed May 20 21:26:58 2020, 1589990256.934, 0.73, 0.1718, 0.73, 0.1644, 2
model-Wed May 20 21:26:58 2020, 1589990256.998, 0.71, 0.2066, 0.76, 0.168, 2
model-Wed May 20 21:26:58 2020, 1589990257.067, 0.76, 0.1544, 0.74, 0.1637, 2
model-Wed May 20 21:26:58 2020, 1589990257.131, 0.84, 0.1313, 0.73, 0.175, 2
model-Wed May 20 21:26:58 2020, 1589990257.197, 0.71, 0.1817, 0.7, 0.1955, 2
model-Wed May 20 21:26:58 2020, 1589990257.261, 0.8, 0.1327, 0.75, 0.1631, 2
model-Wed May 20 21:26:58 2020, 1589990257.327, 0.76, 0.1758, 0.71, 0.1891, 2
model-Wed May 20 21:26:58 2020, 1589990257.39, 0.77, 0.1688, 0.7, 0.2117, 2
model-Wed May 20 21:26:58 2020, 1589990257.456, 0.67, 0.1977, 0.8, 0.1501, 2
model-Wed May 20 21:26:58 2020, 1589990257.521, 0.72, 0.1885, 0.8, 0.1519, 2
model-Wed May 20 21:26:58 2020, 1589990257.596, 0.6, 0.2528, 0.73, 0.1664, 2
model-Wed May 20 21:26:58 2020, 1589990257.661, 0.85, 0.1213, 0.67, 0.2009, 2
model-Wed May 20 21:26:58 2020, 1589990257.73, 0.82, 0.1465, 0.69, 0.2125, 2
model-Wed May 20 21:26:58 2020, 1589990257.795, 0.74, 0.183, 0.72, 0.1961, 2
model-Wed May 20 21:26:58 2020, 1589990257.862, 0.69, 0.1667, 0.76, 0.1868, 2
model-Wed May 20 21:26:58 2020, 1589990257.93, 0.75, 0.17, 0.76, 0.1657, 2
model-Wed May 20 21:26:58 2020, 1589990257.995, 0.76, 0.1634, 0.79, 0.1603, 2
model-Wed May 20 21:26:58 2020, 1589990258.058, 0.73, 0.1712, 0.76, 0.1662, 2
model-Wed May 20 21:26:58 2020, 1589990258.133, 0.74, 0.1688, 0.71, 0.1937, 2
model-Wed May 20 21:26:58 2020, 1589990258.195, 0.82, 0.1557, 0.73, 0.1775, 2
model-Wed May 20 21:26:58 2020, 1589990258.259, 0.73, 0.1681, 0.76, 0.1638, 2
model-Wed May 20 21:26:58 2020, 1589990258.323, 0.66, 0.2169, 0.79, 0.1561, 2
model-Wed May 20 21:26:58 2020, 1589990258.386, 0.69, 0.1982, 0.68, 0.1938, 2
model-Wed May 20 21:26:58 2020, 1589990258.449, 0.73, 0.1791, 0.71, 0.1697, 2
model-Wed May 20 21:26:58 2020, 1589990258.515, 0.79, 0.1526, 0.69, 0.1846, 2
model-Wed May 20 21:26:58 2020, 1589990258.578, 0.73, 0.1931, 0.69, 0.2044, 2
model-Wed May 20 21:26:58 2020, 1589990258.644, 0.68, 0.1816, 0.72, 0.1905, 2
model-Wed May 20 21:26:58 2020, 1589990258.709, 0.76, 0.1598, 0.71, 0.1871, 2
model-Wed May 20 21:26:58 2020, 1589990258.774, 0.64, 0.2115, 0.75, 0.1811, 2
model-Wed May 20 21:26:58 2020, 1589990258.837, 0.7, 0.1795, 0.69, 0.1819, 2
model-Wed May 20 21:26:58 2020, 1589990258.9, 0.67, 0.2065, 0.73, 0.1874, 2
model-Wed May 20 21:26:58 2020, 1589990258.971, 0.73, 0.1773, 0.75, 0.1566, 2
model-Wed May 20 21:26:58 2020, 1589990259.036, 0.67, 0.2082, 0.67, 0.204, 2
model-Wed May 20 21:26:58 2020, 1589990259.097, 0.77, 0.1369, 0.74, 0.1836, 2
model-Wed May 20 21:26:58 2020, 1589990259.17, 0.73, 0.1769, 0.66, 0.1976, 2
model-Wed May 20 21:26:58 2020, 1589990259.233, 0.73, 0.1749, 0.8, 0.1648, 2
model-Wed May 20 21:26:58 2020, 1589990259.295, 0.78, 0.16, 0.67, 0.1832, 2
model-Wed May 20 21:26:58 2020, 1589990259.357, 0.73, 0.1821, 0.78, 0.1597, 2
model-Wed May 20 21:26:58 2020, 1589990259.422, 0.74, 0.1645, 0.67, 0.2043, 2
model-Wed May 20 21:26:58 2020, 1589990259.485, 0.83, 0.1312, 0.79, 0.1469, 2
model-Wed May 20 21:26:58 2020, 1589990259.555, 0.76, 0.1493, 0.68, 0.2106, 2
model-Wed May 20 21:26:58 2020, 1589990259.62, 0.78, 0.164, 0.73, 0.1701, 2
model-Wed May 20 21:26:58 2020, 1589990259.695, 0.66, 0.2061, 0.8, 0.147, 2
model-Wed May 20 21:26:58 2020, 1589990259.758, 0.77, 0.1622, 0.71, 0.1798, 2
model-Wed May 20 21:26:58 2020, 1589990259.83, 0.78, 0.1533, 0.73, 0.2006, 2
model-Wed May 20 21:26:58 2020, 1589990259.891, 0.57, 0.2596, 0.67, 0.214, 2
model-Wed May 20 21:26:58 2020, 1589990259.969, 0.7, 0.1846, 0.66, 0.2051, 2
model-Wed May 20 21:26:58 2020, 1589990260.033, 0.66, 0.2056, 0.7, 0.1866, 2
model-Wed May 20 21:26:58 2020, 1589990260.098, 0.8, 0.1554, 0.71, 0.2025, 2
model-Wed May 20 21:26:58 2020, 1589990260.163, 0.7, 0.1938, 0.67, 0.2235, 2
model-Wed May 20 21:26:58 2020, 1589990260.226, 0.67, 0.2141, 0.71, 0.1883, 2
model-Wed May 20 21:26:58 2020, 1589990260.288, 0.75, 0.153, 0.7, 0.2098, 2
model-Wed May 20 21:26:58 2020, 1589990260.353, 0.74, 0.1695, 0.74, 0.1639, 2
model-Wed May 20 21:26:58 2020, 1589990260.415, 0.76, 0.1781, 0.71, 0.1866, 2
model-Wed May 20 21:26:58 2020, 1589990260.478, 0.79, 0.1585, 0.72, 0.1753, 2
model-Wed May 20 21:26:58 2020, 1589990260.542, 0.69, 0.1937, 0.75, 0.1742, 2
model-Wed May 20 21:26:58 2020, 1589990260.607, 0.73, 0.1795, 0.64, 0.1935, 2
model-Wed May 20 21:26:58 2020, 1589990260.674, 0.75, 0.1651, 0.74, 0.178, 2
model-Wed May 20 21:26:58 2020, 1589990260.742, 0.79, 0.1672, 0.75, 0.1581, 2
model-Wed May 20 21:26:58 2020, 1589990260.818, 0.75, 0.1537, 0.81, 0.1568, 2
model-Wed May 20 21:26:58 2020, 1589990260.891, 0.76, 0.1616, 0.7, 0.1763, 2
model-Wed May 20 21:26:58 2020, 1589990260.953, 0.67, 0.1772, 0.75, 0.1579, 2
model-Wed May 20 21:26:58 2020, 1589990261.018, 0.79, 0.144, 0.73, 0.1698, 2
model-Wed May 20 21:26:58 2020, 1589990261.082, 0.79, 0.1565, 0.78, 0.1656, 2
model-Wed May 20 21:26:58 2020, 1589990261.147, 0.69, 0.1746, 0.75, 0.1752, 2
model-Wed May 20 21:26:58 2020, 1589990261.209, 0.74, 0.1756, 0.7, 0.2028, 2
model-Wed May 20 21:26:58 2020, 1589990261.283, 0.76, 0.1522, 0.72, 0.168, 2
model-Wed May 20 21:26:58 2020, 1589990261.346, 0.72, 0.1726, 0.68, 0.2105, 2
model-Wed May 20 21:26:58 2020, 1589990261.411, 0.78, 0.1639, 0.76, 0.176, 2
model-Wed May 20 21:26:58 2020, 1589990261.477, 0.71, 0.1616, 0.8, 0.1632, 2
model-Wed May 20 21:26:58 2020, 1589990261.545, 0.76, 0.1542, 0.74, 0.1613, 2
model-Wed May 20 21:26:58 2020, 1589990261.609, 0.78, 0.1531, 0.79, 0.1585, 2
model-Wed May 20 21:26:58 2020, 1589990261.685, 0.79, 0.1516, 0.8, 0.1409, 2
model-Wed May 20 21:26:58 2020, 1589990261.749, 0.78, 0.1673, 0.74, 0.1914, 2
model-Wed May 20 21:26:58 2020, 1589990261.813, 0.78, 0.1547, 0.76, 0.1619, 2
model-Wed May 20 21:26:58 2020, 1589990261.876, 0.76, 0.1667, 0.71, 0.1857, 2
model-Wed May 20 21:26:58 2020, 1589990261.94, 0.78, 0.1462, 0.76, 0.1514, 2
model-Wed May 20 21:26:58 2020, 1589990262.004, 0.73, 0.1805, 0.72, 0.1809, 2
model-Wed May 20 21:26:58 2020, 1589990262.068, 0.83, 0.1344, 0.73, 0.1612, 2
model-Wed May 20 21:26:58 2020, 1589990262.13, 0.86, 0.1283, 0.79, 0.1611, 2
model-Wed May 20 21:26:58 2020, 1589990262.195, 0.8, 0.1489, 0.74, 0.1657, 2
model-Wed May 20 21:26:58 2020, 1589990262.258, 0.82, 0.1443, 0.74, 0.1648, 2
model-Wed May 20 21:26:58 2020, 1589990262.323, 0.73, 0.1843, 0.73, 0.1648, 2
model-Wed May 20 21:26:58 2020, 1589990262.396, 0.73, 0.1917, 0.68, 0.2108, 2
model-Wed May 20 21:26:58 2020, 1589990262.459, 0.76, 0.1598, 0.8, 0.1352, 2
model-Wed May 20 21:26:58 2020, 1589990262.521, 0.78, 0.1423, 0.72, 0.169, 2
model-Wed May 20 21:26:58 2020, 1589990262.595, 0.72, 0.155, 0.79, 0.149, 2
model-Wed May 20 21:26:58 2020, 1589990262.669, 0.86, 0.1152, 0.82, 0.1502, 2
model-Wed May 20 21:26:58 2020, 1589990262.742, 0.74, 0.1844, 0.81, 0.1461, 2
model-Wed May 20 21:26:58 2020, 1589990262.815, 0.78, 0.1551, 0.64, 0.2187, 2
model-Wed May 20 21:26:58 2020, 1589990262.867, 0.81, 0.1218, 0.78, 0.1416, 2
